Solvent,Inchikey,Smiles,canonical_smiles,protonation_state,n_F,n_CF3,n_CF2,fluorination_ratio,mw,dipole_moment_debye,gibbs_free_energy_Eh,enthalpy_Eh,homo_lumo_gap_alpha_Eh,homo_lumo_gap_beta_Eh,homo_lumo_gap_eV,oxidation_potential_V_vs_SHE,reduction_potential_V_vs_SHE,logKow,logKaw,is_charged_logp_table,headgroup,n_CF,is_open_shell,has_imaginary
DMSO,AFNZKQFUTJFMAS-UHFFFAOYSA-M,O=P([O-])(O[C](F)F)OC(F)(F)F,O=P([O-])(O[C](F)F)OC(F)(F)F,neutral,5,1,1,1.0,213.98199999999997,5.581668607,-1217.9973226614084,-1217.9472252676233,0.40018800000000004,0.38847,,,,,,,,0,True,False
DMSO,AFNZKQFUTJFMAS-UHFFFAOYSA-N,[H]OP(=O)(O[C](F)F)OC(F)(F)F,O=P(O)(O[C](F)F)OC(F)(F)F,neutral,5,1,1,1.0,214.98999999999995,3.845660465,-1218.4149170498508,-1218.3638942045675,0.420432,0.435241,,,,,,,,0,True,False
DMSO,AFVFQIVMOAPDHO-UHFFFAOYSA-M,[H]C([H])([H])S(=O)(=O)[O-],CS(=O)(=O)[O-],neutral,0,0,0,0.0,95.099,5.011870755,-663.9064004425794,-663.8723519345922,,,10.648278031621286,,,-7.20368563683825,-50.06608312791183,True,Sulphonate,0,False,False
DMSO,AFXJGHKCYOJEMC-UHFFFAOYSA-N,O=[C]C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=[C]C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,neutral,11,2,2,1.0,313.0419999999999,0.72074521,-1477.4464599679764,-1477.3837400417567,0.36887,0.45836499999999997,,,,,,,,1,True,True
DMSO,AFYPFACVUDMOHA-UHFFFAOYSA-N,FC(F)(F)Cl,FC(F)(F)Cl,neutral,3,1,0,1.0,104.45800000000001,0.511106951,-797.8387520136401,-797.8053156455159,,,14.025102219203413,,,2.102519875814275,1.8651697776781009,False,Carboxylate,0,False,False
DMSO,AGEGCBUWLHLYQG-UHFFFAOYSA-N,[H]O[P](=O)C([H])(F)C(F)(F)F,O=[P](O)C(F)C(F)(F)F,neutral,4,1,0,0.8,165.00199999999998,3.776797314,-968.6340702659776,-968.5883953689786,0.400978,0.378781,,,,,,,,1,True,False
DMSO,AGIMOOYNBDLMJV-UHFFFAOYSA-M,O=C([O-])C(F)(F)C(F)(F)OC(F)(F)F,O=C([O-])C(F)(F)C(F)(F)OC(F)(F)F,neutral,7,1,2,1.0,229.02699999999996,10.460785412,-1077.2944961066264,-1077.2430259440705,,,10.934351335225358,,,-3.015509983627857,-38.27597685314478,True,Carboxylate,0,False,False
DMSO,AGIMOOYNBDLMJV-UHFFFAOYSA-N,[H]OC(=O)C(F)(F)C(F)(F)OC(F)(F)F,O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,neutral,7,1,2,1.0,230.03499999999997,2.847793297,-1077.7321959831831,-1077.680248566652,,,12.73291512054018,,,1.329491417245127,-2.0056032110420534,False,Carboxylate,0,False,False
DMSO,AGSWFJUAZMNCCS-UHFFFAOYSA-M,[H]C([O])(F)C(F)(F)S(=O)(=O)[O-],[O]C(F)C(F)(F)S(=O)(=O)[O-],neutral,3,0,1,0.75,178.087,7.635800163,-1075.5551464429836,-1075.5098769442263,0.41393100000000005,0.27796899999999997,,,,,,,,1,True,False
DMSO,AGSWFJUAZMNCCS-UHFFFAOYSA-N,[H]OS(=O)(=O)C(F)(F)C([H])([O])F,[O]C(F)C(F)(F)S(=O)(=O)O,neutral,3,0,1,0.75,179.09499999999997,3.556536616,-1075.963731129987,-1075.9175874474815,0.48595700000000003,0.335539,,,,,,,,1,True,False
DMSO,AGTIIBUDFDXPDW-UHFFFAOYSA-M,O=C([O-])C(F)(F)[C](F)C(F)(F)OC(F)(F)C(F)(F)F,O=C([O-])C(F)(F)[C](F)C(F)(F)OC(F)(F)C(F)(F)F,neutral,10,1,3,1.0,310.04299999999995,13.974084536,-1452.9981452350787,-1452.9356205090608,0.38914699999999997,0.33186899999999997,,,,,,,,1,True,True
DMSO,AGTIIBUDFDXPDW-UHFFFAOYSA-N,[H]OC(=O)C(F)(F)[C](F)C(F)(F)OC(F)(F)C(F)(F)F,O=C(O)C(F)(F)[C](F)C(F)(F)OC(F)(F)C(F)(F)F,neutral,10,1,3,1.0,311.05099999999993,2.505681537,-1453.4363904152342,-1453.3729667494013,0.417971,0.387254,,,,,,,,1,True,True
DMSO,AGVJFLSEWZJARK-UHFFFAOYSA-N,[H][C]([H])N(C([H])([H])C([H])([H])[H])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,[CH2]N(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,neutral,7,1,2,0.5,290.17999999999995,5.75169646,-1535.0563668881275,-1534.9929018644957,0.335803,0.441204,,,,,,,,0,True,False
